feature,coef
2017 applicant,-0.08128401096298132
election,-0.0812458559230824
self employ,-0.08113705994151757
20 000,-0.08110103535597349
gx page,-0.08109290131747401
applicant maintain contact,-0.08106337939990871
immediate,-0.08102099697451806
send money mother,-0.08102016143832866
sister law brother,-0.0808731142612705
46 47,-0.08086882401225172
applicant person,-0.08085736274134539
intelligence collection,-0.08083014122960101
live apartment,-0.0807759056107532
2016 applicant,-0.08052551314949043
tr 53 applicant,-0.08051853765266569
quarterly,-0.08043542284056189
yearly,-0.08034538373953455
right issue,-0.08033039952680397
live afghanistan,-0.08024941213174717
gambling,-0.08010404347616724
online date,-0.07971415279166273
finalize,-0.07944093321446019
october 2010,-0.0793590825062383
guard,-0.07935529360678331
financially support,-0.07924108288778597
excess,-0.07916316589081643
tr 35 applicant,-0.07909018017369816
resident jordan,-0.07902291554345982
repeatedly,-0.07900286785760742
sectarian,-0.07899738299820593
citizen resident russia,-0.07884133562985648
concern country,-0.07873998811017659
land,-0.07867547322040702
work teacher,-0.07860628083286204
valid,-0.07849146816123978
february 2021,-0.07822315531466356
immediate family,-0.07817976812855208
malls,-0.07817968822379398
applicant daily,-0.0781279177019836
iraq high,-0.0779661463986952
odni,-0.07793435859515725
12 13,-0.0778583488906238
electronically,-0.07775135802766982
conduct,-0.07771281161901977
120,-0.07766513757016963
citizen china,-0.07762971734653575
terrorist organization,-0.0776142444861528
pleading,-0.07761342842842323
review pleading,-0.07761342842842323
unite state work,-0.07749363833734998
page 14,-0.07742021984618709
arbitrary killings,-0.07717723706804949
marry philippine national,-0.0771612859754541
applicant marry philippine,-0.0771612859754541
marry philippine,-0.0771612859754541
child,-0.07702714944467112
parent weekly,-0.07696804212585547
applicant indicate,-0.07694922226816851
february 2014,-0.07688879441798238
criminal,-0.07688308916469781
travel russia,-0.07685816589440295
significant,-0.07675833238272556
hearing applicant,-0.07675414298509221
testify,-0.07665937020505555
record applicant,-0.07657215802299135
applicant explain,-0.0765577171039598
tr 13,-0.07651513723974004
resident lebanon,-0.07650465575233405
contain government,-0.0764617210111207
security guard,-0.07638175033645248
000 financial support,-0.07631844884478485
10 000,-0.07565884850979784
refute,-0.07561482433271276
brother reside,-0.07555167824799426
employed,-0.07549256403975965
page 12,-0.07548616268884958
electronic contact,-0.0754485861143311
drugs,-0.07525644237562366
baghdad,-0.07511131725614772
application sca,-0.07498217514228472
attend university,-0.07496753984304394
relate,-0.07489179427803691
seat,-0.07481800048593878
sensitive information,-0.07473854673736487
degree university,-0.07472157733090827
months applicant,-0.07457323241923695
request,-0.07454617128253861
55,-0.07452336263772966
government publication,-0.0744927671972607
unemploy,-0.0742345516642265
time week,-0.07417845342295168
spouse child,-0.07408676676981295
iraqi identification,-0.0740640115695811
national applicant,-0.07379507023929513
afghan citizen,-0.07379399112019376
sor admission incorporate,-0.0737539226511157
law previously,-0.07365730740650085
visit family,-0.07363157136694651
finding fact,-0.07361908627295301
unite states relation,-0.0736048387574636
states relation,-0.0736048387574636
previously work,-0.07359744059836013
56,-0.07359172232599127
obtain employment,-0.07349088801561142
attack iraqi security,-0.07348327201609417
complete sca,-0.07328286466924883
