feature,coef
insist applicant,-0.01599610319550831
click link,-0.01599610319550831
pornography sites,-0.01599610319550831
connect company network,-0.01599610319550831
applicant detect,-0.01599610319550831
applicant insist applicant,-0.01599610319550831
laptop view pornography,-0.01599610319550831
applicant insist,-0.01599610319550831
monday june,-0.01599610319550831
105,-0.015995232774579288
computers tr,-0.015962047281171312
tr 77,-0.015959138035015214
return,-0.01595629524431393
sor allege guideline,-0.015910964987748858
misconduct workplace,-0.015907999331404535
special access,-0.015907999331404535
applicant offer,-0.01590298572721821
warned,-0.01588501917602703
warned reprimanded suspended,-0.01588501917602703
warned reprimanded,-0.01588501917602703
applicant warned reprimanded,-0.01588501917602703
disciplined,-0.01588501917602703
applicant warned,-0.01588501917602703
suspended disciplined,-0.01588501917602703
reprimanded suspended disciplined,-0.01588501917602703
use usb device,-0.015884297202617952
applicant resign,-0.01586912685738548
applicant year old,-0.015815608974435617
10 11,-0.015782912103610682
case applicant,-0.0157586853841617
prior employer,-0.015747369590053777
43,-0.015706856877377003
20 000,-0.015703841975576168
id applicant,-0.01570318636470685
101,-0.015691708022761208
aver applicant,-0.015686646491608464
applicant aver applicant,-0.015686646491608464
allege following,-0.015682700950009638
sor allege following,-0.015682700950009638
therapist,-0.015682700950009638
access company,-0.01568215516564861
interview government investigator,-0.015675523769345265
interview government,-0.015675523769345265
22 23,-0.015663003850680826
education,-0.015662918552493604
engage applicant,-0.015659608198327367
september 2009,-0.015659608198327367
government policy statement,-0.015659608198327367
choose engage applicant,-0.015659608198327367
government policy,-0.015659608198327367
sexual misconduct,-0.015659608198327367
sign government policy,-0.015659608198327367
sign government,-0.015659608198327367
use corporate,-0.015659608198327367
use corporate computer,-0.015659608198327367
masturbate office,-0.015659608198327367
downsized,-0.01565735907337744
psi applicant,-0.015655915126559283
majority,-0.01563595394210483
133,-0.015634608519805485
applicant make payment,-0.015614293966997187
make payment,-0.015614293966997187
government issue computer,-0.015592401082349203
government issue,-0.015592401082349203
use government computer,-0.015592401082349203
applicant access pornographic,-0.015588664789541733
applicant earn,-0.01558383470913427
law applicant,-0.015560525803599862
applicant laptop,-0.015549595163734557
linux,-0.015511559263528171
primary care physician,-0.015511559263528171
applicant consume edibles,-0.015511559263528171
prescription,-0.015511559263528171
physician,-0.015511559263528171
primary care,-0.015511559263528171
care physician,-0.015511559263528171
use hack,-0.015511559263528171
shoulder pain,-0.015511559263528171
edibles applicant,-0.015511559263528171
attend college,-0.015499772391832067
37,-0.015498073252416058
applicant present,-0.015490739968028227
datum applicant,-0.015480175270118326
1993,-0.01547850221072464
2007 applicant,-0.0154411436580199
information technology systems,-0.01542808637939623
technology systems,-0.01542808637939623
addiction applicant,-0.015427526262304965
young,-0.015426334166380904
resign applicant,-0.015397164713082308
applicant aske,-0.01539561436692385
35,-0.015394038000743309
personal use applicant,-0.015367545496686633
12,-0.015363686100500167
laptop way,-0.01530866541161363
applicant write,-0.015287081761477068
file disc,-0.015233365455248666
unclassified work computer,-0.015233365455248666
item sor,-0.015233365455248666
