feature,coef
applicant tell polygraph,-0.025837388554274764
engage applicant,-0.025816873170288617
11 applicant,-0.025778118504706734
applicant admit deny,-0.025740261256999596
allow,-0.025735858940441222
pursuant,-0.02569322272891983
hand,-0.025691732434068387
laptop,-0.025678176526075097
home,-0.02565362373154479
jail month,-0.025651901045228454
area applicant,-0.025632824052506206
relapse,-0.02562139335224487
unit commander,-0.025571305155059978
mspb,-0.025571305155059978
gross,-0.02556935152162372
applicant believe year,-0.025541676351024414
believe year old,-0.025541676351024414
believe year,-0.025541676351024414
aggravate sexual,-0.02553880012227194
locate,-0.025529157870207465
buttocks,-0.02551168933560225
end divorce applicant,-0.02548304574134326
applicant testify,-0.025454171931638292
serve air,-0.025437894648080196
serve air force,-0.025437894648080196
group,-0.0254307400827411
tr 47,-0.025387731305950463
applicant drink,-0.02534843176925699
provide documentation,-0.025332897639979278
2016 applicant spouse,-0.025310950049576144
applicant foreign,-0.02527155519847128
stop applicant,-0.025269498437859503
leg,-0.025230240290028697
september 2011,-0.025224422231695305
employment applicant,-0.02519022591600577
breasts,-0.02517915386200127
credible,-0.025160533867312276
2017 sca,-0.025101703932687593
cease,-0.025092934221233213
applicant cease,-0.025092934221233213
sor resolved,-0.025040702731344854
sor resolved applicant,-0.025040702731344854
allege sor resolved,-0.025040702731344854
resolved applicant claime,-0.025040702731344854
unaware,-0.02490410493043895
coerce,-0.024872825555884936
applicant allegation,-0.024834538233369896
touch applicant,-0.02483218548072667
applicant explain applicant,-0.024810707346950713
lie,-0.02480594931466521
arrest applicant,-0.024755004428410533
set,-0.02472502235265208
behavior applicant,-0.02469032719684745
alcohol use,-0.024688071863185366
applicant deliberately,-0.024678876667468295
admitted,-0.02466310609658387
review copy,-0.02464572423161098
rape arrest,-0.02464572423161098
2023 credit report,-0.024635696968110018
opm,-0.024625310514278957
applicant pick,-0.024618527326915884
money applicant,-0.024613239274387272
site applicant,-0.02460743702828322
send text,-0.02459964819464157
charge patronize prostitute,-0.024597038095377388
charge patronize,-0.024597038095377388
patronize prostitute applicant,-0.024597038095377388
applicant fail,-0.024594631334006366
applicant admit,-0.024580802753974375
guilty plea,-0.02456115396949093
forensic,-0.02455269933429109
communicate online,-0.02451899326554062
blackmail,-0.024498108411719146
occur,-0.024486031900431252
documentation,-0.02446573891986055
recommend,-0.024455101277476295
complete sex,-0.02439998082838772
applicant admit sor,-0.024374083841624383
applicant work,-0.02437059998571843
search,-0.024345325212473366
applicant earn,-0.024329704794985627
25 applicant admit,-0.024310890328647913
applicant work federal,-0.024306450289530754
know applicant,-0.024286328302958213
grow,-0.024282179671535137
hearing applicant claime,-0.024275961504048482
purpose,-0.024271938135816285
pay masseuse,-0.02425689027135568
blame,-0.02424855860728751
stimulation penis,-0.024235296570019417
tr 49 applicant,-0.024133692154612144
applicant videotape,-0.024127987881347776
questions,-0.024086551814845255
counselor applicant,-0.02405095107641314
applicant cw2,-0.02404883154617319
debt allege sor,-0.02404596365313124
debt allege,-0.02404596365313124
neighbour,-0.024041466416142895
marry man adult,-0.024036753007062393
old marry man,-0.024036753007062393
man adult,-0.024036753007062393
marry man,-0.024036753007062393
ge 13 applicant,-0.024036753007062393
government policy,-0.024001997171327772
job applicant,-0.023936748959353698
2013 2014,-0.023931356511834465
app bd,-0.023915090033144824
bd,-0.023915090033144824
make mistake,-0.023891915718013107
month applicant,-0.02389133485596882
escort sexual,-0.02388719160983142
varying weekly,-0.02388719160983142
escort sexual service,-0.02388719160983142
varying,-0.02388719160983142
vary frequency,-0.02388719160983142
ge 15,-0.02387919703230696
consult attorney,-0.023867238192639428
engineer applicant,-0.023846277017556265
wear,-0.023841202269368436
stress,-0.023793358829421345
tell police,-0.023790095095038107
august 2018 applicant,-0.023764138511187305
work federal contractor,-0.023761438500049976
applicant cohabitant,-0.023700903713584826
decline,-0.023698734924654026
march 2014,-0.023695661415923743
community supervision,-0.023679557030650198
shortly,-0.02366315921583684
plea agreement,-0.023654216546683506
phone,-0.023649902246608734
use escort,-0.023646158149278503
applicant believe legal,-0.023605257850668204
prostitute sex,-0.023605257850668204
believe legal,-0.023605257850668204
driver license,-0.023591006576975545
